21-04-2022,20:30,128
21-04-2022,20:31,130
21-04-2022,20:32,130
21-04-2022,20:33,131
21-04-2022,20:34,133
21-04-2022,20:35,134
21-04-2022,20:36,137
21-04-2022,20:37,136
21-04-2022,20:38,136
21-04-2022,20:39,135
21-04-2022,21:30,172
21-04-2022,21:31,171
21-04-2022,21:32,172
21-04-2022,21:33,171
21-04-2022,21:34,171
21-04-2022,21:35,171
21-04-2022,21:36,172
21-04-2022,21:37,172
21-04-2022,21:38,173
21-04-2022,21:39,174
21-04-2022,22:30,121
21-04-2022,22:31,120
21-04-2022,22:32,118
21-04-2022,22:33,116
21-04-2022,22:34,116
21-04-2022,22:35,112
21-04-2022,22:36,111
21-04-2022,22:37,109
21-04-2022,22:38,108
21-04-2022,22:39,107
21-04-2022,23:30,125
21-04-2022,23:31,130
21-04-2022,23:32,135
21-04-2022,23:33,139
21-04-2022,23:34,141
21-04-2022,23:35,142
21-04-2022,23:36,143
21-04-2022,23:37,143
21-04-2022,23:38,143
21-04-2022,23:39,144
22-04-2022,00:30,198
22-04-2022,00:31,198
22-04-2022,00:32,174
22-04-2022,00:33,173
22-04-2022,00:34,171
22-04-2022,00:35,170
22-04-2022,00:36,172
22-04-2022,00:37,171
22-04-2022,00:38,172
22-04-2022,00:39,172
22-04-2022,01:30,193
22-04-2022,01:31,194
22-04-2022,01:32,193
22-04-2022,01:33,193
22-04-2022,01:34,192
22-04-2022,01:35,192
22-04-2022,01:36,191
22-04-2022,01:37,190
22-04-2022,01:38,188
22-04-2022,01:39,187
22-04-2022,02:30,176
22-04-2022,02:31,175
22-04-2022,02:32,175
22-04-2022,02:33,177
22-04-2022,02:34,178
22-04-2022,02:35,176
22-04-2022,02:36,176
22-04-2022,02:37,176
22-04-2022,02:38,177
22-04-2022,02:39,175
22-04-2022,03:30,161
22-04-2022,03:31,162
22-04-2022,03:32,162
22-04-2022,03:33,160
22-04-2022,03:34,161
22-04-2022,03:35,161
22-04-2022,03:36,160
22-04-2022,03:37,160
22-04-2022,03:38,160
22-04-2022,03:39,159
22-04-2022,04:30,165
22-04-2022,04:31,167
22-04-2022,04:32,166
22-04-2022,04:33,166
22-04-2022,04:34,167
22-04-2022,04:35,167
22-04-2022,04:36,167
22-04-2022,04:37,167
22-04-2022,04:38,167
22-04-2022,04:39,167
22-04-2022,05:30,176
22-04-2022,05:31,176
22-04-2022,05:32,176
22-04-2022,05:33,176
22-04-2022,05:34,176
22-04-2022,05:35,177
22-04-2022,05:36,177
22-04-2022,05:37,177
22-04-2022,05:38,177
22-04-2022,05:39,177
22-04-2022,06:30,190
22-04-2022,06:31,190
22-04-2022,06:32,185
22-04-2022,06:33,184
22-04-2022,06:34,183
22-04-2022,06:35,182
22-04-2022,06:36,181
22-04-2022,06:37,179
22-04-2022,06:38,178
22-04-2022,06:39,177
22-04-2022,07:30,188
22-04-2022,07:31,188
22-04-2022,07:32,187
22-04-2022,07:33,187
22-04-2022,07:34,187
22-04-2022,07:35,186
22-04-2022,07:36,186
22-04-2022,07:37,190
22-04-2022,07:38,190
22-04-2022,07:39,191
22-04-2022,08:30,177
22-04-2022,08:31,178
22-04-2022,08:32,178
22-04-2022,08:33,179
22-04-2022,08:34,180
22-04-2022,08:35,180
22-04-2022,08:36,180
22-04-2022,08:37,181
22-04-2022,08:38,182
22-04-2022,08:39,182
22-04-2022,09:30,190
22-04-2022,09:31,190
22-04-2022,09:32,189
22-04-2022,09:33,189
22-04-2022,09:34,189
22-04-2022,09:35,188
22-04-2022,09:36,187
22-04-2022,09:37,188
22-04-2022,09:38,187
22-04-2022,09:39,187
22-04-2022,10:30,180
22-04-2022,10:31,180
22-04-2022,10:32,180
22-04-2022,10:33,181
22-04-2022,10:34,180
22-04-2022,10:35,181
22-04-2022,10:36,181
22-04-2022,10:37,181
22-04-2022,10:38,181
22-04-2022,10:39,181
22-04-2022,11:30,178
22-04-2022,11:31,177
22-04-2022,11:32,178
22-04-2022,11:33,178
22-04-2022,11:34,178
22-04-2022,11:35,178
22-04-2022,11:36,178
22-04-2022,11:37,178
22-04-2022,11:38,178
22-04-2022,11:39,178
